opType,accCore,count,totalTime,avgTime,maxTime,minTime
MatMulV3,AI_CORE,840,179798.110,214.050,477.480,79.010
FusedInferAttentionScore,MIX_AIC,140,69772.430,498.370,505.820,492.360
SwiGlu,AI_VECTOR_CORE,140,46295.050,330.680,350.440,244.750
RotaryMul,AI_VECTOR_CORE,280,32938.340,117.640,161.080,79.150
RmsNorm,AI_VECTOR_CORE,565,31739.940,56.180,82.970,42.060
Add,AI_VECTOR_CORE,280,19199.120,68.570,85.630,53.750
TensorMove,AI_VECTOR_CORE,140,6577.670,46.980,51.710,44.440
Triu,AI_VECTOR_CORE,140,4724.850,33.750,38.620,32.740
OnesLike,AI_VECTOR_CORE,140,2641.510,18.870,20.240,14.620
Transpose,AI_VECTOR_CORE,10,207.670,20.770,21.540,19.940
GatherV2,AI_VECTOR_CORE,5,199.420,39.880,54.050,34.740
Mul,AI_VECTOR_CORE,15,160.880,10.730,16.020,6.720
IsFinite,AI_VECTOR_CORE,5,150.460,30.090,30.480,29.700
Cos,AI_VECTOR_CORE,5,134.720,26.940,27.340,25.900
Sin,AI_VECTOR_CORE,5,129.800,25.960,28.520,25.140
